Title,Open Comments,Product,Date,Incoterms,Currency,Auto Number,Description,First Created,Last Updated,Unit price (Purchase/Base price) $/€
"000094 - striped beetroot&white potato chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]__10/12/2024",0,"000094 - striped beetroot&white potato chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#040,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000095 - orange sweet potato&purple sweet chips85(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]__10/12/2024",0,"000095 - orange sweet potato&purple sweet chips85(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#090,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]__10/12/2024",0,"000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#095,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 8 Apr, 2025",0.82
"000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]__10/12/2024",0,"000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#054,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 8 Apr, 2025",0.82
"000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]__10/12/2024",0,"000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#025,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]__10/12/2024",0,"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#109,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]__27/4/2025",0,"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]",27/4/2025,FOB (Free On Board),Euro,#234,double cookey gluten free,"By Success Management on 8 May, 2025","By Success Management on 8 May, 2025",1.65
"000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]__10/12/2024",0,"000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",10/12/2024,EXW (Ex Works),,#077,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]__10/12/2024",0,"000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",10/12/2024,EXW (Ex Works),Euro,#045,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]__10/12/2024",0,"000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#108,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]__10/12/2024",0,"000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#103,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]__10/12/2024",0,"000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#058,,"By SmartSuite Automation on 10 Dec, 2024","By Operation Manager on 8 Apr, 2025",0.82
