Order Status history ID,Order Status history Title,Open Comments,Order,Status From,Status To,Status Change Date,Previous Status Change Date,Duration (h),Last Updated,First Created,Description
#058,: Status change From “Canceled”  To  “Closed”,0,,Canceled,Closed,"20 Aug, 2024 at 5:49 PM","20 Aug, 2024 at 5:48 PM",0.00,"By SmartSuite Automation on 20 Aug, 2024","By SmartSuite Automation on 20 Aug, 2024",
#060,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"11 Sep, 2024 at 6:29 PM",,,"By SmartSuite Automation on 11 Sep, 2024","By SmartSuite Automation on 11 Sep, 2024",
#061,: Status change From “Closed”  To  “Cancel Verification”,0,,Closed,Cancel Verification,"11 Sep, 2024 at 11:00 PM","14 Jul, 2024 at 10:50 AM",1428,"By SmartSuite Automation on 11 Sep, 2024","By SmartSuite Automation on 11 Sep, 2024",
#062,: Status change From “Sent To Vendor”  To  “Cancel Verification”,0,,Sent To Vendor,Cancel Verification,"11 Sep, 2024 at 11:00 PM","14 Jul, 2024 at 10:04 AM",1428,"By SmartSuite Automation on 11 Sep, 2024","By SmartSuite Automation on 11 Sep, 2024",
#063,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"12 Sep, 2024 at 6:43 PM",,,"By SmartSuite Automation on 12 Sep, 2024","By SmartSuite Automation on 12 Sep, 2024",
#064,: Status change From “Order Confirmed”  To  “Closed”,0,,Order Confirmed,Closed,"12 Sep, 2024 at 7:10 PM",,,"By SmartSuite Automation on 12 Sep, 2024","By SmartSuite Automation on 12 Sep, 2024",
#065,: Status change From “Sent To Vendor”  To  “Cancel Verification”,0,,Sent To Vendor,Cancel Verification,"12 Sep, 2024 at 11:00 PM","15 Jul, 2024 at 1:30 PM",1425,"By SmartSuite Automation on 12 Sep, 2024","By SmartSuite Automation on 12 Sep, 2024",
#066,: Status change From “Sent To Vendor”  To  “Cancel Verification”,0,,Sent To Vendor,Cancel Verification,"12 Sep, 2024 at 11:00 PM","15 Jul, 2024 at 1:30 PM",1425,"By SmartSuite Automation on 12 Sep, 2024","By SmartSuite Automation on 12 Sep, 2024",
#019,Order: 000185-SHF [115337]: Status change From “New”  To  “Confirmed By Vendor”,0,Order: 000185-SHF [115337],New,Confirmed By Vendor,"15 Jul, 2024 at 2:30 PM","5 May, 2024",1715.51,"By SmartSuite Automation on 15 Jul, 2024","By SmartSuite Automation on 15 Jul, 2024",
#059,Order: 000210-SHF [115450]: Status change From “New”  To  “Order Confirmed”,0,Order: 000210-SHF [115450],New,Order Confirmed,"1 Sep, 2024 at 11:56 AM",,,"By SmartSuite Automation on 1 Sep, 2024","By SmartSuite Automation on 1 Sep, 2024",
